==========================================
SLURM_JOB_ID = 6156107
SLURM_JOB_NODELIST = d06-23
TMPDIR = /tmp/SLURM_6156107
==========================================
10_10_14_21_45_985 [22, 50, 50, 60, 60, 46] [Tanh(), Tanh(), Tanh(), Tanh(), Sigmoid()] 100 0.01 60
Epoch 1: Loss = 0.44466, Training (Code) = 0.44114, Validation (Code) = 0.44112, Training (X) = 0.99986, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 0.99991
Epoch 2: Loss = 0.44345, Training (Code) = 0.43814, Validation (Code) = 0.44004, Training (X) = 0.99993, Validation (X) = 1.0, Training (Z) = 0.99995, Validation (Z) = 0.99981
Epoch 3: Loss = 0.46065, Training (Code) = 0.43846, Validation (Code) = 0.44012, Training (X) = 0.99998, Validation (X) = 0.99991, Training (Z) = 0.99998, Validation (Z) = 0.99991
Epoch 4: Loss = 0.4598, Training (Code) = 0.44053, Validation (Code) = 0.44371, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 5: Loss = 0.47073, Training (Code) = 0.44225, Validation (Code) = 0.44508, Training (X) = 0.99993, Validation (X) = 0.99991, Training (Z) = 1.0, Validation (Z) = 0.99991
Epoch 6: Loss = 0.47281, Training (Code) = 0.44084, Validation (Code) = 0.44496, Training (X) = 0.99991, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 7: Loss = 0.47714, Training (Code) = 0.44006, Validation (Code) = 0.44321, Training (X) = 0.99988, Validation (X) = 1.0, Training (Z) = 0.99995, Validation (Z) = 1.0
Epoch 8: Loss = 0.47659, Training (Code) = 0.4403, Validation (Code) = 0.4475, Training (X) = 1.0, Validation (X) = 0.99991, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 9: Loss = 0.47624, Training (Code) = 0.43934, Validation (Code) = 0.44612, Training (X) = 0.99993, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 0.99981
Epoch 10: Loss = 0.4761, Training (Code) = 0.44085, Validation (Code) = 0.44579, Training (X) = 0.99988, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99991
Epoch 11: Loss = 0.47605, Training (Code) = 0.44048, Validation (Code) = 0.44496, Training (X) = 0.99995, Validation (X) = 0.99981, Training (Z) = 0.99998, Validation (Z) = 0.99981
Epoch 12: Loss = 0.47603, Training (Code) = 0.44041, Validation (Code) = 0.44346, Training (X) = 0.99991, Validation (X) = 0.99981, Training (Z) = 0.99993, Validation (Z) = 1.0
Epoch 13: Loss = 0.47603, Training (Code) = 0.44044, Validation (Code) = 0.44071, Training (X) = 0.99995, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 0.99991
Epoch 14: Loss = 0.47602, Training (Code) = 0.44103, Validation (Code) = 0.44646, Training (X) = 0.99995, Validation (X) = 0.99991, Training (Z) = 0.99998, Validation (Z) = 0.99991
Epoch 15: Loss = 0.47602, Training (Code) = 0.4413, Validation (Code) = 0.44579, Training (X) = 0.99993, Validation (X) = 0.99991, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 16: Loss = 0.47602, Training (Code) = 0.4401, Validation (Code) = 0.44525, Training (X) = 0.99993, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 17: Loss = 0.47602, Training (Code) = 0.44022, Validation (Code) = 0.44312, Training (X) = 0.99993, Validation (X) = 0.99991, Training (Z) = 0.99995, Validation (Z) = 0.99991
Epoch 18: Loss = 0.47602, Training (Code) = 0.43982, Validation (Code) = 0.44142, Training (X) = 0.99991, Validation (X) = 0.99991, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 19: Loss = 0.47602, Training (Code) = 0.43922, Validation (Code) = 0.4435, Training (X) = 0.99991, Validation (X) = 0.99981, Training (Z) = 0.99995, Validation (Z) = 1.0
Epoch 20: Loss = 0.47602, Training (Code) = 0.441, Validation (Code) = 0.44342, Training (X) = 0.99995, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99991
Epoch 21: Loss = 0.47602, Training (Code) = 0.44002, Validation (Code) = 0.44392, Training (X) = 0.99998, Validation (X) = 0.99991, Training (Z) = 0.99998, Validation (Z) = 0.99991
Epoch 22: Loss = 0.47602, Training (Code) = 0.43989, Validation (Code) = 0.44225, Training (X) = 0.99995, Validation (X) = 1.0, Training (Z) = 0.99995, Validation (Z) = 1.0
Epoch 23: Loss = 0.47602, Training (Code) = 0.43921, Validation (Code) = 0.44454, Training (X) = 0.99993, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 0.99991
Epoch 24: Loss = 0.47602, Training (Code) = 0.43941, Validation (Code) = 0.44096, Training (X) = 0.99998, Validation (X) = 0.99991, Training (Z) = 1.0, Validation (Z) = 0.99981
Epoch 25: Loss = 0.47602, Training (Code) = 0.43943, Validation (Code) = 0.44204, Training (X) = 0.99995, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 26: Loss = 0.47602, Training (Code) = 0.43992, Validation (Code) = 0.44333, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 0.99995, Validation (Z) = 0.99981
Epoch 27: Loss = 0.47602, Training (Code) = 0.44095, Validation (Code) = 0.44204, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 28: Loss = 0.47602, Training (Code) = 0.44038, Validation (Code) = 0.44246, Training (X) = 0.99993, Validation (X) = 1.0, Training (Z) = 0.99995, Validation (Z) = 1.0
